nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity,        pressure
1,7.40E-02,2.40E-02,2.66E-02,3.84E-01,6.14E-16,9.41E-06,-9.70E-05
2,7.40E-02,2.34E-02,2.63E-02,3.84E-01,-6.16E-04,-7.82E-06,0.00E+00
3,7.40E-02,2.32E-02,2.54E-02,3.83E-01,-7.43E-04,-4.68E-05,0.00E+00
4,7.40E-02,2.35E-02,2.47E-02,3.84E-01,-5.95E-04,-6.47E-05,0.00E+00
5,7.40E-02,2.40E-02,2.48E-02,3.84E-01,7.05E-17,-4.99E-05,-9.41E-05
6,7.35E-02,2.40E-02,2.47E-02,3.84E-01,4.05E-17,-4.76E-05,-2.85E-04
7,7.32E-02,2.40E-02,2.54E-02,3.85E-01,2.46E-16,-2.56E-05,-3.47E-04
8,7.34E-02,2.40E-02,2.64E-02,3.85E-01,5.97E-16,2.98E-06,-3.11E-04
9,7.33E-02,2.38E-02,2.64E-02,3.85E-01,-3.25E-04,7.82E-06,-3.08E-04
10,7.32E-02,2.35E-02,2.59E-02,3.84E-01,-4.39E-04,-1.85E-05,-3.12E-04
11,7.35E-02,2.32E-02,2.59E-02,3.84E-01,-6.57E-04,-2.56E-05,-2.27E-04
12,7.38E-02,2.33E-02,2.63E-02,3.84E-01,-6.34E-04,-2.25E-06,-1.95E-04
13,7.31E-02,2.37E-02,2.54E-02,3.85E-01,-2.72E-04,-2.61E-05,-3.41E-04
14,7.37E-02,2.31E-02,2.54E-02,3.83E-01,-7.50E-04,-4.81E-05,-1.71E-04
15,7.34E-02,2.34E-02,2.50E-02,3.84E-01,-5.23E-04,-5.00E-05,-2.53E-04
16,7.36E-02,2.36E-02,2.47E-02,3.84E-01,-3.65E-04,-5.24E-05,-2.15E-04
17,7.40E-02,2.28E-02,2.68E-02,3.83E-01,-1.06E-03,9.58E-07,0.00E+00
18,7.40E-02,2.18E-02,2.66E-02,3.81E-01,-1.84E-03,-3.02E-05,0.00E+00
19,7.40E-02,2.18E-02,2.54E-02,3.80E-01,-2.02E-03,-5.55E-05,0.00E+00
20,7.40E-02,2.22E-02,2.51E-02,3.82E-01,-1.44E-03,-6.29E-05,0.00E+00
21,7.33E-02,2.19E-02,2.66E-02,3.82E-01,-1.76E-03,-2.12E-05,-3.00E-04
22,7.34E-02,2.18E-02,2.65E-02,3.81E-01,-1.90E-03,-2.62E-05,-2.73E-04
23,7.36E-02,2.18E-02,2.54E-02,3.80E-01,-1.95E-03,-5.44E-05,-1.94E-04
24,7.35E-02,2.21E-02,2.53E-02,3.81E-01,-1.68E-03,-5.14E-05,-2.44E-04
25,7.31E-02,2.23E-02,2.60E-02,3.83E-01,-1.42E-03,-3.25E-05,-3.38E-04
26,7.38E-02,2.28E-02,2.68E-02,3.83E-01,-9.59E-04,3.49E-06,-1.94E-04
27,7.36E-02,2.23E-02,2.51E-02,3.82E-01,-1.49E-03,-5.79E-05,-1.86E-04
28,7.40E-02,2.40E-02,2.75E-02,3.84E-01,-2.03E-04,1.70E-05,-1.51E-04
29,7.40E-02,2.31E-02,2.75E-02,3.83E-01,-8.98E-04,2.03E-18,-9.76E-05
30,7.28E-02,2.40E-02,2.69E-02,3.85E-01,5.57E-16,1.16E-05,-4.85E-04
31,7.31E-02,2.40E-02,2.75E-02,3.85E-01,-1.90E-04,1.02E-05,-4.26E-04
32,7.28E-02,2.33E-02,2.75E-02,3.85E-01,-6.83E-04,8.01E-19,-4.91E-04
33,7.34E-02,2.28E-02,2.75E-02,3.83E-01,-1.11E-03,2.32E-18,-3.11E-04
34,7.33E-02,2.28E-02,2.73E-02,3.84E-01,-9.76E-04,1.51E-05,-3.16E-04
35,7.28E-02,2.33E-02,2.73E-02,3.84E-01,-6.93E-04,1.50E-05,-4.36E-04
36,7.28E-02,2.38E-02,2.68E-02,3.85E-01,-3.37E-04,1.45E-05,-4.34E-04
37,7.40E-02,2.31E-02,2.37E-02,3.83E-01,-7.59E-04,-6.65E-05,0.00E+00
38,7.40E-02,2.24E-02,2.39E-02,3.82E-01,-1.46E-03,-6.18E-05,0.00E+00
39,7.32E-02,2.24E-02,2.45E-02,3.82E-01,-1.43E-03,-6.63E-05,-3.36E-04
40,7.30E-02,2.31E-02,2.44E-02,3.84E-01,-8.34E-04,-6.25E-05,-3.75E-04
41,7.32E-02,2.33E-02,2.40E-02,3.84E-01,-6.85E-04,-6.62E-05,-3.54E-04
42,7.33E-02,2.31E-02,2.38E-02,3.83E-01,-8.15E-04,-6.11E-05,-3.26E-04
43,7.34E-02,2.25E-02,2.40E-02,3.82E-01,-1.38E-03,-5.93E-05,-2.91E-04
44,7.40E-02,2.34E-02,2.29E-02,3.83E-01,-6.63E-04,-3.68E-05,0.00E+00
45,7.40E-02,2.40E-02,2.29E-02,3.84E-01,-1.36E-16,-3.83E-05,-1.07E-04
46,7.33E-02,2.40E-02,2.29E-02,3.84E-01,-2.19E-16,-3.48E-05,-3.49E-04
47,7.30E-02,2.40E-02,2.36E-02,3.84E-01,-1.09E-16,-5.28E-05,-3.98E-04
48,7.34E-02,2.36E-02,2.29E-02,3.84E-01,-4.11E-04,-3.67E-05,-2.88E-04
49,7.30E-02,2.34E-02,2.37E-02,3.84E-01,-5.40E-04,-5.78E-05,-4.13E-04
50,7.31E-02,2.33E-02,2.35E-02,3.84E-01,-6.86E-04,-5.26E-05,-3.83E-04
51,7.18E-02,2.40E-02,2.66E-02,3.86E-01,3.60E-16,-3.59E-06,-7.63E-04
52,7.22E-02,2.40E-02,2.53E-02,3.85E-01,-1.89E-16,-1.86E-05,-6.18E-04
53,7.18E-02,2.40E-02,2.56E-02,3.86E-01,3.05E-17,-6.62E-06,-8.30E-04
54,7.18E-02,2.36E-02,2.66E-02,3.86E-01,-3.40E-04,-4.50E-06,-7.78E-04
55,7.18E-02,2.36E-02,2.57E-02,3.86E-01,-2.90E-04,-6.84E-06,-8.17E-04
56,7.22E-02,2.34E-02,2.67E-02,3.85E-01,-5.12E-04,-4.55E-06,-6.32E-04
57,7.26E-02,2.32E-02,2.60E-02,3.85E-01,-7.18E-04,-1.54E-05,-5.25E-04
58,7.21E-02,2.34E-02,2.54E-02,3.85E-01,-4.73E-04,-1.52E-05,-6.92E-04
59,7.23E-02,2.36E-02,2.52E-02,3.85E-01,-3.24E-04,-1.78E-05,-6.15E-04
60,7.22E-02,2.40E-02,2.40E-02,3.85E-01,-5.79E-16,-2.72E-05,-6.57E-04
61,7.23E-02,2.33E-02,2.48E-02,3.85E-01,-5.70E-04,-3.30E-05,-6.30E-04
62,7.22E-02,2.36E-02,2.40E-02,3.85E-01,-3.37E-04,-2.73E-05,-6.67E-04
63,7.26E-02,2.22E-02,2.65E-02,3.83E-01,-1.53E-03,-1.99E-05,-5.29E-04
64,7.32E-02,2.19E-02,2.66E-02,3.82E-01,-1.79E-03,-1.96E-05,-3.31E-04
65,7.27E-02,2.24E-02,2.61E-02,3.83E-01,-1.41E-03,-2.52E-05,-4.90E-04
66,7.22E-02,2.31E-02,2.69E-02,3.85E-01,-7.78E-04,-4.50E-06,-6.44E-04
67,7.30E-02,2.20E-02,2.47E-02,3.81E-01,-1.74E-03,-5.69E-05,-4.22E-04
68,7.20E-02,2.23E-02,2.51E-02,3.83E-01,-1.47E-03,-4.19E-05,-6.91E-04
