x,y,u,v
0.000000,0.000000,3.560398,-0.201765
1.034483,0.000000,3.614763,-0.204846
2.068966,0.000000,3.663934,-0.207633
3.103448,0.000000,3.703213,-0.209859
4.137931,0.000000,3.728846,-0.211311
5.172414,0.000000,3.738386,-0.211852
6.206897,0.000000,3.730920,-0.211429
7.241379,0.000000,3.707162,-0.210082
8.275862,0.000000,3.669381,-0.207941
9.310345,0.000000,3.621188,-0.205210
10.344828,0.000000,3.567187,-0.202150
11.379310,0.000000,3.512537,-0.199053
12.413793,0.000000,3.462460,-0.196215
13.448276,0.000000,3.421741,-0.193908
14.482759,0.000000,3.394269,-0.192351
15.517241,0.000000,3.382670,-0.191694
16.551724,0.000000,3.388051,-0.191999
17.586207,0.000000,3.409899,-0.193237
18.620690,0.000000,3.446127,-0.195290
19.655172,0.000000,3.493272,-0.197961
20.689655,0.000000,3.546830,-0.200996
21.724138,0.000000,3.601685,-0.204105
22.758621,0.000000,3.652596,-0.206990
23.793103,0.000000,3.694697,-0.209376
24.827586,0.000000,3.723967,-0.211035
25.862069,0.000000,3.737609,-0.211808
26.896552,0.000000,3.734320,-0.211621
27.931034,0.000000,3.714414,-0.210493
28.965517,0.000000,3.679792,-0.208531
30.000000,0.000000,3.633763,-0.205923
0.000000,1.111111,3.560398,-0.201765
1.034483,1.111111,3.606587,-0.204383
2.068966,1.111111,3.648363,-0.206750
3.103448,1.111111,3.681734,-0.208641
4.137931,1.111111,3.703513,-0.209876
5.172414,1.111111,3.711618,-0.210335
6.206897,1.111111,3.705275,-0.209975
7.241379,1.111111,3.685089,-0.208832
8.275862,1.111111,3.652991,-0.207013
9.310345,1.111111,3.612046,-0.204692
10.344828,1.111111,3.566166,-0.202092
11.379310,1.111111,3.519735,-0.199461
12.413793,1.111111,3.477189,-0.197050
13.448276,1.111111,3.442594,-0.195089
14.482759,1.111111,3.419253,-0.193767
15.517241,1.111111,3.409399,-0.193208
16.551724,1.111111,3.413971,-0.193467
17.586207,1.111111,3.432533,-0.194519
18.620690,1.111111,3.463312,-0.196264
19.655172,1.111111,3.503367,-0.198533
20.689655,1.111111,3.548871,-0.201112
21.724138,1.111111,3.595476,-0.203753
22.758621,1.111111,3.638730,-0.206204
23.793103,1.111111,3.674500,-0.208231
24.827586,1.111111,3.699368,-0.209641
25.862069,1.111111,3.710958,-0.210297
26.896552,1.111111,3.708164,-0.210139
27.931034,1.111111,3.691251,-0.209181
28.965517,1.111111,3.661836,-0.207514
30.000000,1.111111,3.622730,-0.205298
0.000000,2.222222,3.560398,-0.201765
1.034483,2.222222,3.584518,-0.203132
2.068966,2.222222,3.606333,-0.204368
3.103448,2.222222,3.623760,-0.205356
4.137931,2.222222,3.635133,-0.206001
5.172414,2.222222,3.639365,-0.206240
6.206897,2.222222,3.636053,-0.206053
7.241379,2.222222,3.625512,-0.205455
8.275862,2.222222,3.608750,-0.204505
9.310345,2.222222,3.587369,-0.203294
10.344828,2.222222,3.563410,-0.201936
11.379310,2.222222,3.539164,-0.200562
12.413793,2.222222,3.516946,-0.199303
13.448276,2.222222,3.498881,-0.198279
14.482759,2.222222,3.486692,-0.197588
15.517241,2.222222,3.481546,-0.197297
16.551724,2.222222,3.483934,-0.197432
17.586207,2.222222,3.493627,-0.197981
18.620690,2.222222,3.509700,-0.198892
19.655172,2.222222,3.530616,-0.200078
20.689655,2.222222,3.554379,-0.201424
21.724138,2.222222,3.578716,-0.202803
22.758621,2.222222,3.601303,-0.204083
23.793103,2.222222,3.619982,-0.205142
24.827586,2.222222,3.632968,-0.205878
25.862069,2.222222,3.639021,-0.206221
26.896552,2.222222,3.637561,-0.206138
27.931034,2.222222,3.628730,-0.205638
28.965517,2.222222,3.613369,-0.204767
30.000000,2.222222,3.592948,-0.203610
0.000000,3.333333,3.560398,-0.201765
1.034483,3.333333,3.555194,-0.201470
2.068966,3.333333,3.550487,-0.201204
3.103448,3.333333,3.546727,-0.200991
4.137931,3.333333,3.544274,-0.200852
5.172414,3.333333,3.543361,-0.200800
6.206897,3.333333,3.544075,-0.200840
7.241379,3.333333,3.546349,-0.200969
8.275862,3.333333,3.549966,-0.201174
9.310345,3.333333,3.554579,-0.201436
10.344828,3.333333,3.559748,-0.201729
