x,y,u,v
0.000000,0.000000,5.695408,0.228751
1.034483,0.000000,5.782373,0.232244
2.068966,0.000000,5.861029,0.235403
3.103448,0.000000,5.923862,0.237927
4.137931,0.000000,5.964867,0.239574
5.172414,0.000000,5.980127,0.240187
6.206897,0.000000,5.968184,0.239707
7.241379,0.000000,5.930179,0.238181
8.275862,0.000000,5.869743,0.235753
9.310345,0.000000,5.792651,0.232657
10.344828,0.000000,5.706268,0.229187
11.379310,0.000000,5.618847,0.225676
12.413793,0.000000,5.538741,0.222459
13.448276,0.000000,5.473604,0.219843
14.482759,0.000000,5.429658,0.218078
15.517241,0.000000,5.411104,0.217332
16.551724,0.000000,5.419712,0.217678
17.586207,0.000000,5.454662,0.219082
18.620690,0.000000,5.512613,0.221409
19.655172,0.000000,5.588029,0.224438
20.689655,0.000000,5.673704,0.227880
21.724138,0.000000,5.761453,0.231404
22.758621,0.000000,5.842892,0.234675
23.793103,0.000000,5.910240,0.237380
24.827586,0.000000,5.957062,0.239260
25.862069,0.000000,5.978885,0.240137
26.896552,0.000000,5.973623,0.239925
27.931034,0.000000,5.941780,0.238647
28.965517,0.000000,5.886397,0.236422
30.000000,0.000000,5.812767,0.233465
0.000000,1.111111,5.695408,0.228751
1.034483,1.111111,5.769294,0.231719
2.068966,1.111111,5.836121,0.234403
3.103448,1.111111,5.889504,0.236547
4.137931,1.111111,5.924342,0.237946
5.172414,1.111111,5.937307,0.238467
6.206897,1.111111,5.927160,0.238059
7.241379,1.111111,5.894871,0.236762
8.275862,1.111111,5.843524,0.234700
9.310345,1.111111,5.778026,0.232070
10.344828,1.111111,5.704635,0.229122
11.379310,1.111111,5.630361,0.226139
12.413793,1.111111,5.562303,0.223405
13.448276,1.111111,5.506962,0.221182
14.482759,1.111111,5.469625,0.219683
15.517241,1.111111,5.453861,0.219050
16.551724,1.111111,5.461175,0.219343
17.586207,1.111111,5.490868,0.220536
18.620690,1.111111,5.540104,0.222514
19.655172,1.111111,5.604178,0.225087
20.689655,1.111111,5.676968,0.228011
21.724138,1.111111,5.751521,0.231005
22.758621,1.111111,5.820712,0.233784
23.793103,1.111111,5.877931,0.236082
24.827586,1.111111,5.917711,0.237680
25.862069,1.111111,5.936252,0.238425
26.896552,1.111111,5.931782,0.238245
27.931034,1.111111,5.904727,0.237158
28.965517,1.111111,5.857674,0.235268
30.000000,1.111111,5.795117,0.232756
0.000000,2.222222,5.695408,0.228751
1.034483,2.222222,5.733992,0.230301
2.068966,2.222222,5.768889,0.231703
3.103448,2.222222,5.796765,0.232822
4.137931,2.222222,5.814958,0.233553
5.172414,2.222222,5.821728,0.233825
6.206897,2.222222,5.816429,0.233612
7.241379,2.222222,5.799568,0.232935
8.275862,2.222222,5.772755,0.231858
9.310345,2.222222,5.738551,0.230484
10.344828,2.222222,5.700226,0.228945
11.379310,2.222222,5.661441,0.227387
12.413793,2.222222,5.625900,0.225959
13.448276,2.222222,5.597001,0.224799
14.482759,2.222222,5.577504,0.224016
15.517241,2.222222,5.569272,0.223685
16.551724,2.222222,5.573091,0.223838
17.586207,2.222222,5.588597,0.224461
18.620690,2.222222,5.614308,0.225494
19.655172,2.222222,5.647768,0.226838
20.689655,2.222222,5.685779,0.228364
21.724138,2.222222,5.724710,0.229928
22.758621,2.222222,5.760842,0.231379
23.793103,2.222222,5.790722,0.232579
24.827586,2.222222,5.811495,0.233414
25.862069,2.222222,5.821177,0.233803
26.896552,2.222222,5.818843,0.233709
27.931034,2.222222,5.804715,0.233141
28.965517,2.222222,5.780144,0.232155
30.000000,2.222222,5.747476,0.230842
0.000000,3.333333,5.695408,0.228751
1.034483,3.333333,5.687083,0.228417
2.068966,3.333333,5.679554,0.228114
3.103448,3.333333,5.673540,0.227873
4.137931,3.333333,5.669615,0.227715
5.172414,3.333333,5.668154,0.227657
6.206897,3.333333,5.669297,0.227702
7.241379,3.333333,5.672935,0.227849
8.275862,3.333333,5.678720,0.228081
9.310345,3.333333,5.686100,0.228377
10.344828,3.333333,5.694369,0.228709
11.379310,3.333333,5.702737,0.229046
12.413793,3.333333,5.710405,0.229354
13.448276,3.333333,5.716640,0.229604
14.482759,3.333333,5.720847,0.229773
15.517241,3.333333,5.722623,0.229844
16.551724,3.333333,5.721799,0.229811
17.586207,3.333333,5.718453,0.229677
18.620690,3.333333,5.712906,0.229454
19.655172,3.333333,5.705687,0.229164
20.689655,3.333333,5.697486,0.228835
21.724138,3.333333,5.689086,0.228497
