nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
1,3.25E-02,9.07E-03,0.00E+00
2,3.15E-02,9.08E-03,0.00E+00
3,3.33E-02,9.35E-03,0.00E+00
4,3.06E-02,9.37E-03,0.00E+00
5,3.41E-02,9.90E-03,0.00E+00
6,2.99E-02,9.92E-03,0.00E+00
7,3.46E-02,1.06E-02,0.00E+00
8,2.94E-02,1.07E-02,0.00E+00
9,3.49E-02,1.15E-02,0.00E+00
10,2.91E-02,1.15E-02,0.00E+00
11,3.49E-02,1.25E-02,0.00E+00
12,2.91E-02,1.25E-02,0.00E+00
13,3.46E-02,1.33E-02,0.00E+00
14,2.94E-02,1.33E-02,0.00E+00
15,3.41E-02,1.41E-02,0.00E+00
16,2.99E-02,1.41E-02,0.00E+00
17,3.33E-02,1.46E-02,0.00E+00
18,3.07E-02,1.46E-02,0.00E+00
19,3.25E-02,1.49E-02,0.00E+00
20,3.15E-02,1.49E-02,0.00E+00
21,3.25E-02,9.06E-03,2.72E-04
22,3.15E-02,9.06E-03,2.72E-04
23,3.33E-02,9.34E-03,2.72E-04
24,3.06E-02,9.36E-03,2.72E-04
25,3.41E-02,9.89E-03,2.72E-04
26,2.99E-02,9.91E-03,2.72E-04
27,3.46E-02,1.06E-02,2.72E-04
28,2.93E-02,1.07E-02,2.72E-04
29,3.49E-02,1.15E-02,2.72E-04
30,3.49E-02,1.25E-02,2.72E-04
31,2.91E-02,1.25E-02,2.72E-04
32,3.47E-02,1.33E-02,2.72E-04
33,2.94E-02,1.34E-02,2.72E-04
34,3.41E-02,1.41E-02,2.72E-04
35,2.99E-02,1.41E-02,2.72E-04
36,3.34E-02,1.46E-02,2.72E-04
37,3.07E-02,1.47E-02,2.72E-04
38,3.25E-02,1.49E-02,2.72E-04
39,3.15E-02,1.49E-02,2.72E-04
40,2.91E-02,1.15E-02,2.72E-04
41,3.20E-02,9.02E-03,5.43E-04
42,3.29E-02,9.17E-03,5.43E-04
43,3.11E-02,9.17E-03,5.43E-04
44,3.37E-02,9.59E-03,5.43E-04
45,3.02E-02,9.60E-03,5.43E-04
46,3.44E-02,1.02E-02,5.43E-04
47,2.96E-02,1.03E-02,5.43E-04
48,3.48E-02,1.11E-02,5.43E-04
49,3.50E-02,1.20E-02,5.44E-04
50,3.48E-02,1.29E-02,5.44E-04
51,2.92E-02,1.29E-02,5.44E-04
52,3.44E-02,1.37E-02,5.43E-04
53,2.96E-02,1.38E-02,5.43E-04
54,3.38E-02,1.44E-02,5.44E-04
55,3.03E-02,1.44E-02,5.43E-04
56,3.11E-02,1.48E-02,5.44E-04
57,2.92E-02,1.11E-02,5.44E-04
58,3.29E-02,1.48E-02,5.44E-04
59,3.20E-02,1.50E-02,5.44E-04
60,2.90E-02,1.20E-02,5.44E-04
61,3.20E-02,9.02E-03,1.09E-03
62,3.29E-02,9.17E-03,1.09E-03
63,3.11E-02,9.17E-03,1.09E-03
64,3.37E-02,9.59E-03,1.09E-03
65,3.02E-02,9.60E-03,1.09E-03
66,3.44E-02,1.02E-02,1.09E-03
67,2.96E-02,1.03E-02,1.09E-03
68,3.48E-02,1.11E-02,1.09E-03
69,3.50E-02,1.20E-02,1.09E-03
70,3.48E-02,1.29E-02,1.09E-03
71,2.92E-02,1.29E-02,1.09E-03
72,3.44E-02,1.37E-02,1.09E-03
73,2.96E-02,1.38E-02,1.09E-03
74,3.03E-02,1.44E-02,1.09E-03
75,3.38E-02,1.44E-02,1.09E-03
76,3.11E-02,1.48E-02,1.09E-03
77,2.92E-02,1.11E-02,1.09E-03
78,3.29E-02,1.48E-02,1.09E-03
79,3.20E-02,1.50E-02,1.09E-03
80,2.90E-02,1.20E-02,1.09E-03
81,3.25E-02,9.06E-03,1.36E-03
82,3.15E-02,9.06E-03,1.36E-03
83,3.33E-02,9.35E-03,1.36E-03
84,3.06E-02,9.35E-03,1.36E-03
85,3.41E-02,9.89E-03,1.36E-03
86,2.99E-02,9.90E-03,1.36E-03
87,3.46E-02,1.06E-02,1.36E-03
88,2.93E-02,1.07E-02,1.36E-03
89,3.49E-02,1.15E-02,1.36E-03
90,3.49E-02,1.25E-02,1.36E-03
91,3.47E-02,1.33E-02,1.36E-03
92,2.94E-02,1.34E-02,1.36E-03
93,3.41E-02,1.41E-02,1.36E-03
94,2.99E-02,1.41E-02,1.36E-03
95,3.07E-02,1.47E-02,1.36E-03
96,2.91E-02,1.25E-02,1.36E-03
97,3.34E-02,1.46E-02,1.36E-03
98,3.25E-02,1.49E-02,1.36E-03
99,3.15E-02,1.49E-02,1.36E-03
100,2.91E-02,1.15E-02,1.36E-03
101,3.25E-02,9.06E-03,1.90E-03
102,3.15E-02,9.06E-03,1.90E-03
103,3.33E-02,9.35E-03,1.90E-03
104,3.06E-02,9.35E-03,1.90E-03
105,3.41E-02,9.89E-03,1.90E-03
106,2.99E-02,9.90E-03,1.90E-03
107,3.46E-02,1.06E-02,1.90E-03
108,2.93E-02,1.07E-02,1.90E-03
109,3.49E-02,1.15E-02,1.90E-03
110,3.49E-02,1.25E-02,1.90E-03
111,3.47E-02,1.33E-02,1.90E-03
112,2.91E-02,1.15E-02,1.90E-03
113,2.91E-02,1.25E-02,1.90E-03
114,2.93E-02,1.34E-02,1.90E-03
115,3.41E-02,1.41E-02,1.90E-03
116,2.99E-02,1.41E-02,1.90E-03
117,3.07E-02,1.47E-02,1.90E-03
118,3.34E-02,1.46E-02,1.90E-03
119,3.25E-02,1.49E-02,1.90E-03
120,3.15E-02,1.49E-02,1.90E-03
121,3.20E-02,9.02E-03,2.17E-03
122,3.29E-02,9.17E-03,2.17E-03
123,3.11E-02,9.17E-03,2.17E-03
124,3.37E-02,9.59E-03,2.17E-03
125,3.02E-02,9.60E-03,2.17E-03
126,3.44E-02,1.02E-02,2.17E-03
127,2.96E-02,1.03E-02,2.17E-03
128,3.48E-02,1.11E-02,2.17E-03
129,3.50E-02,1.20E-02,2.17E-03
130,2.92E-02,1.11E-02,2.17E-03
131,3.48E-02,1.29E-02,2.17E-03
132,2.90E-02,1.20E-02,2.17E-03
133,2.92E-02,1.29E-02,2.17E-03
134,3.44E-02,1.37E-02,2.17E-03
135,2.96E-02,1.38E-02,2.17E-03
136,3.03E-02,1.44E-02,2.17E-03
137,3.38E-02,1.44E-02,2.17E-03
138,3.11E-02,1.48E-02,2.17E-03
139,3.29E-02,1.48E-02,2.18E-03
140,3.20E-02,1.50E-02,2.18E-03
141,3.20E-02,9.02E-03,2.72E-03
142,3.29E-02,9.17E-03,2.72E-03
143,3.11E-02,9.17E-03,2.72E-03
144,3.37E-02,9.59E-03,2.72E-03
145,3.02E-02,9.59E-03,2.72E-03
146,3.44E-02,1.02E-02,2.72E-03
147,2.96E-02,1.03E-02,2.72E-03
148,3.48E-02,1.11E-02,2.72E-03
149,2.92E-02,1.11E-02,2.72E-03
150,3.50E-02,1.20E-02,2.72E-03
151,2.90E-02,1.20E-02,2.72E-03
152,3.48E-02,1.29E-02,2.72E-03
153,2.92E-02,1.29E-02,2.72E-03
154,3.44E-02,1.37E-02,2.72E-03
155,2.96E-02,1.38E-02,2.72E-03
156,3.03E-02,1.44E-02,2.72E-03
157,3.38E-02,1.44E-02,2.72E-03
158,3.11E-02,1.48E-02,2.72E-03
159,3.29E-02,1.48E-02,2.72E-03
160,3.20E-02,1.50E-02,2.72E-03
161,3.25E-02,9.06E-03,2.99E-03
162,3.15E-02,9.06E-03,2.99E-03
163,3.33E-02,9.35E-03,2.99E-03
164,3.06E-02,9.35E-03,2.99E-03
165,3.41E-02,9.89E-03,2.99E-03
166,2.99E-02,9.90E-03,2.99E-03
167,3.46E-02,1.06E-02,2.99E-03
168,2.93E-02,1.07E-02,2.99E-03
169,3.49E-02,1.15E-02,2.99E-03
170,2.91E-02,1.15E-02,2.99E-03
171,3.49E-02,1.25E-02,2.99E-03
172,2.91E-02,1.25E-02,2.99E-03
173,3.47E-02,1.33E-02,2.99E-03
174,2.93E-02,1.34E-02,2.99E-03
175,2.99E-02,1.41E-02,2.99E-03
176,3.41E-02,1.41E-02,2.99E-03
177,3.07E-02,1.47E-02,2.99E-03
178,3.34E-02,1.47E-02,2.99E-03
179,3.25E-02,1.49E-02,2.99E-03
180,3.15E-02,1.49E-02,2.99E-03
181,3.25E-02,9.06E-03,3.53E-03
182,3.15E-02,9.06E-03,3.53E-03
183,3.33E-02,9.35E-03,3.53E-03
184,3.06E-02,9.35E-03,3.53E-03
185,3.41E-02,9.89E-03,3.53E-03
186,2.99E-02,9.90E-03,3.53E-03
187,3.46E-02,1.06E-02,3.53E-03
188,2.93E-02,1.07E-02,3.53E-03
189,3.49E-02,1.15E-02,3.53E-03
190,2.91E-02,1.15E-02,3.53E-03
191,3.49E-02,1.25E-02,3.53E-03
192,2.91E-02,1.25E-02,3.53E-03
193,2.93E-02,1.34E-02,3.53E-03
194,3.47E-02,1.33E-02,3.53E-03
195,2.99E-02,1.41E-02,3.53E-03
196,3.07E-02,1.47E-02,3.53E-03
197,3.41E-02,1.41E-02,3.53E-03
198,3.15E-02,1.49E-02,3.53E-03
199,3.34E-02,1.47E-02,3.54E-03
200,3.25E-02,1.49E-02,3.54E-03
201,3.20E-02,9.02E-03,3.80E-03
202,3.29E-02,9.17E-03,3.80E-03
203,3.11E-02,9.17E-03,3.80E-03
204,3.37E-02,9.59E-03,3.80E-03
205,3.03E-02,9.59E-03,3.80E-03
206,3.44E-02,1.02E-02,3.80E-03
207,2.96E-02,1.03E-02,3.80E-03
208,3.48E-02,1.11E-02,3.80E-03
209,2.92E-02,1.11E-02,3.81E-03
210,3.50E-02,1.20E-02,3.81E-03
211,2.90E-02,1.20E-02,3.81E-03
212,3.48E-02,1.29E-02,3.81E-03
213,2.92E-02,1.29E-02,3.81E-03
214,2.96E-02,1.37E-02,3.81E-03
215,3.03E-02,1.44E-02,3.81E-03
216,3.44E-02,1.37E-02,3.81E-03
217,3.11E-02,1.48E-02,3.81E-03
218,3.37E-02,1.44E-02,3.81E-03
219,3.29E-02,1.48E-02,3.81E-03
220,3.20E-02,1.50E-02,3.81E-03
221,3.20E-02,9.02E-03,4.35E-03
222,3.11E-02,9.17E-03,4.35E-03
223,3.29E-02,9.17E-03,4.35E-03
224,3.03E-02,9.59E-03,4.35E-03
225,3.37E-02,9.59E-03,4.35E-03
