# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
1.000000000000000000e+00 1.168084552345907312e+01 1.509700974855636146e-01 -1.327774335381979576e+01 5.698181220125032587e-01
2.000000000000000000e+00 1.167480963018527085e+01 1.049953060640210073e-01 -1.254269091177892292e+01 4.126274061987937336e-01
3.000000000000000000e+00 1.158236509917360557e+01 8.774913952708417175e-02 -1.267562184577794149e+01 3.295175378003590283e-01
4.000000000000000000e+00 1.151491966246181597e+01 7.348203721399368393e-02 -1.270321265156593427e+01 2.474589983415721728e-01
5.000000000000000000e+00 1.157547937684189954e+01 9.783906857672168556e-02 -1.243582748119432146e+01 1.592628088676905640e-01
6.000000000000000000e+00 1.161769607243375901e+01 6.444516711485458182e-02 -1.266301696914017683e+01 1.479293828564948732e-01
7.000000000000000000e+00 1.149650218407363589e+01 6.363654205003665965e-02 -1.324478155539637569e+01 1.883758716683694989e-01
8.000000000000000000e+00 1.164148078698001676e+01 4.773448419918153302e-02 -1.233675802924358855e+01 2.219220784387634371e-01
9.000000000000000000e+00 1.117999252602952787e+01 4.921461594749950569e-02 -1.259819737041639875e+01 1.801862669630916181e-01
1.000000000000000000e+01 1.160296117480147160e+01 4.677223226200667022e-02 -1.237084728515618082e+01 1.704205204443182131e-01
1.100000000000000000e+01 1.161549017515778814e+01 4.388896748549233479e-02 -1.241296697815153749e+01 1.548320762703125630e-01
1.200000000000000000e+01 1.144076957405398431e+01 4.104747476990203148e-02 -1.214289157547912978e+01 1.672087602288862551e-01
1.300000000000000000e+01 1.165393306053721290e+01 4.426645100557791840e-02 -1.241867637840306848e+01 1.846410117132727957e-01
1.400000000000000000e+01 1.162226042675248827e+01 4.453853853807197144e-02 -1.243680900961029856e+01 1.515671004240505548e-01
1.500000000000000000e+01 1.168034118698389179e+01 4.904874664123042710e-02 -1.261218031945510276e+01 1.427527558722562762e-01
1.600000000000000000e+01 1.166684678316259038e+01 4.197267572096777949e-02 -1.270750960443176858e+01 1.470366794201413141e-01
1.700000000000000000e+01 1.158016328830683328e+01 3.878549428832019780e-02 -1.256514788900500612e+01 1.431272398497829001e-01
1.800000000000000000e+01 1.165967982561724980e+01 3.891116478843208160e-02 -1.233389017667176013e+01 1.411910149548489535e-01
