# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
1.000000000000000000e+00 1.465124034701253741e+01 1.516623532960925946e-01 -1.665767055812114705e+01 5.684761521298165032e-01
2.000000000000000000e+00 1.463489487333869477e+01 1.050839484563370202e-01 -1.579670908684823161e+01 4.132490185064637833e-01
3.000000000000000000e+00 1.466485538533140698e+01 8.824744990532044919e-02 -1.627547393882979065e+01 3.302960982892465536e-01
4.000000000000000000e+00 1.463500718905625320e+01 7.351956156034600287e-02 -1.705683046606791109e+01 2.473335114483604935e-01
5.000000000000000000e+00 1.460852357406792557e+01 9.797118202431151501e-02 -1.552213965480808078e+01 1.586931077618872199e-01
6.000000000000000000e+00 1.439443428520950441e+01 6.386021858611969082e-02 -1.514162717849449713e+01 1.479959403747850566e-01
7.000000000000000000e+00 1.449412205171361556e+01 6.530036035363336044e-02 -1.531962516474024127e+01 1.922498345825199295e-01
8.000000000000000000e+00 1.479225629941598541e+01 4.779776841136183785e-02 -1.585195709599241098e+01 2.219952820469975607e-01
9.000000000000000000e+00 1.476847843788502779e+01 5.006230758628488903e-02 -1.555424624057787852e+01 1.815672408728335185e-01
1.000000000000000000e+01 1.476385757793045350e+01 4.425428618698163535e-02 -1.572981823600709106e+01 1.746358135763237951e-01
1.100000000000000000e+01 1.470725408795893685e+01 4.376347655813218190e-02 -1.550426229638142317e+01 1.548714876255543604e-01
1.200000000000000000e+01 1.469647189884758554e+01 4.109049706736057905e-02 -1.567490854781700982e+01 1.665209160612262929e-01
1.300000000000000000e+01 1.472672916630439666e+01 4.498624419598169083e-02 -1.587438156227645791e+01 1.852092210502870595e-01
1.400000000000000000e+01 1.472130459405385139e+01 4.539362054088470766e-02 -1.593879855739923634e+01 1.515559064692639790e-01
1.500000000000000000e+01 1.465282434640526610e+01 4.819471178155122770e-02 -1.550831651884192830e+01 1.428845360763519312e-01
1.600000000000000000e+01 1.476409732670124342e+01 4.117487238144205280e-02 -1.558982428033109358e+01 1.468575485689676829e-01
1.700000000000000000e+01 1.475912684452525525e+01 3.881033798808945084e-02 -1.551449742984253355e+01 1.432431194066068336e-01
1.800000000000000000e+01 1.472323571820951571e+01 3.892876273470596837e-02 -1.587344071221697739e+01 1.395554170666591376e-01
